id,rebuttal,arxiv,reviewlevel,novel,motivation,experiment,relatework,readable,score
1,-0.866666667,-1,-0.333333333,0,0,-1,0,0,-0.428571429
2,-0.866666667,-1,1,-1,0,-1,-1,0,0.428571429
3,-1,-1,-0.333333333,0,1,-1,0,0,-0.428571429
4,-0.866666667,-1,0.333333333,-1,0,-1,-1,1,-0.428571429
5,-0.733333333,-1,1,-1,0,-1,0,0,-0.428571429
6,-0.866666667,-1,0.333333333,-1,0,-1,0,0,0.428571429
7,-1,-1,0.333333333,0,0,-1,0,0,0.428571429
8,-1,-1,0.333333333,0,0,-1,0,-1,0.428571429
9,-0.866666667,1,-0.333333333,0,0,0,0,0,1
10,-0.866666667,1,-0.333333333,1,0,-1,0,-1,1
11,-0.866666667,1,0.333333333,0,0,-1,0,-1,1
12,-1,-1,-0.333333333,-1,1,-1,0,0,-0.428571429
13,-0.866666667,-1,0.333333333,0,0,-1,0,0,-0.428571429
14,-1,-1,-0.333333333,-1,-1,-1,-1,0,-1
15,-1,-1,-0.333333333,0,1,0,0,0,1
16,-0.866666667,-1,0.333333333,0,0,-1,0,0,0.428571429
17,-0.866666667,-1,0.333333333,0,0,-1,0,-1,0.428571429
18,-0.866666667,1,-1,0,0,1,0,0,1
19,-0.466666667,1,0.333333333,-1,0,-1,0,0,0.428571429
20,-0.866666667,1,-1,1,0,-1,0,0,0.428571429
21,-0.866666667,-1,0.333333333,-1,0,-1,0,0,-1
22,-0.466666667,-1,1,0,0,-1,0,0,-1
23,-0.866666667,-1,-0.333333333,0,0,0,0,0,0.428571429
24,-1,-1,1,0,0,-1,-1,-1,1
25,-0.866666667,-1,-0.333333333,0,0,-1,0,-1,0.428571429
26,-0.866666667,-1,-0.333333333,0,0,-1,-1,-1,1
27,-1,-1,-0.333333333,0,0,-1,0,0,0.428571429
28,-1,-1,-1,-1,0,-1,0,0,-0.428571429
29,-0.6,-1,0.333333333,0,0,0,0,0,-0.428571429
30,-1,-1,0.333333333,0,0,-1,-1,-1,0.428571429
31,-1,-1,-0.333333333,0,0,-1,-1,0,-0.428571429
32,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
33,-1,-1,-1,0,0,-1,0,0,-0.428571429
34,-1,-1,-0.333333333,-1,-1,-1,0,-1,-0.428571429
35,-1,-1,-0.333333333,-1,0,0,0,0,-0.428571429
36,-1,-1,-0.333333333,0,0,0,0,0,-0.428571429
37,-0.6,-1,-0.333333333,0,0,0,0,0,0.428571429
38,-1,-1,1,0,0,-1,0,0,-0.428571429
39,-1,-1,0.333333333,-1,0,-1,-1,-1,-0.428571429
40,-1,-1,-0.333333333,0,0,-1,-1,0,-0.428571429
41,-0.866666667,1,-1,0,0,1,0,0,0.428571429
42,-0.866666667,1,-0.333333333,0,0,0,0,-1,0.428571429
43,-1,1,-0.333333333,0,0,-1,0,0,-1
44,-1,-1,0.333333333,0,0,-1,0,-1,0.428571429
45,-1,-1,0.333333333,0,0,-1,0,0,-1
46,-0.6,-1,0.333333333,0,-1,-1,-1,-1,-1
47,-0.866666667,-1,-0.333333333,1,0,-1,0,-1,-0.428571429
48,-0.866666667,-1,-0.333333333,0,0,-1,-1,-1,0.428571429
49,-1,-1,-1,0,-1,-1,-1,-1,1
50,-1,-1,0.333333333,0,1,0,0,0,0.428571429
51,-0.466666667,-1,1,-1,0,-1,0,0,-0.428571429
52,-1,-1,0.333333333,0,0,-1,0,0,0.428571429
53,-0.6,-1,-0.333333333,0,0,-1,0,0,-0.428571429
54,-1,-1,-1,0,0,-1,0,0,-0.428571429
55,-0.733333333,-1,-0.333333333,0,0,0,0,0,-0.428571429
56,-1,-1,-1,0,0,-1,0,0,0.428571429
57,-0.733333333,-1,0.333333333,0,0,-1,0,0,-0.428571429
58,-0.866666667,-1,-1,0,0,0,0,0,0.428571429
59,-0.6,-1,-0.333333333,0,0,0,-1,0,0.428571429
60,-0.333333333,-1,-1,0,0,-1,-1,0,0.428571429
61,-0.866666667,-1,1,-1,0,-1,0,0,-0.428571429
62,-0.733333333,-1,0.333333333,0,1,1,1,0,0.428571429
63,-1,-1,-0.333333333,0,0,-1,0,-1,-0.428571429
64,-0.866666667,-1,0.333333333,0,0,0,0,0,0.428571429
65,-0.866666667,-1,1,0,1,0,0,0,0.428571429
66,-1,-1,1,1,0,-1,0,-1,0.428571429
67,-1,1,1,0,0,-1,0,-1,0.428571429
68,-1,1,1,0,0,0,0,0,0.428571429
69,-1,1,-1,0,0,-1,-1,0,0.428571429
70,-1,-1,0.333333333,0,0,-1,0,0,0.428571429
71,-1,-1,-1,0,0,0,0,0,-0.428571429
72,-1,-1,-1,0,0,-1,0,0,0.428571429
73,-0.466666667,-1,-0.333333333,0,0,-1,0,0,1
74,-1,-1,-1,0,0,-1,0,0,0.428571429
75,-1,-1,0.333333333,-1,-1,-1,0,-1,0.428571429
76,-1,-1,-0.333333333,0,0,0,0,0,0.428571429
77,-0.733333333,-1,-0.333333333,1,0,0,0,1,0.428571429
78,-0.6,-1,0.333333333,0,0,0,0,1,0.428571429
79,-0.866666667,-1,-0.333333333,1,0,0,-1,-1,0.428571429
80,-1,-1,1,0,0,0,0,0,1
81,-0.866666667,-1,1,-1,0,-1,-1,0,-1
82,-0.6,-1,1,0,0,-1,0,0,-0.428571429
83,-1,1,0.333333333,-1,1,-1,0,-1,1
84,-1,1,1,0,1,-1,0,-1,1
85,-1,1,-0.333333333,0,0,-1,0,-1,1
86,-0.866666667,1,0.333333333,0,-1,0,0,-1,0.428571429
87,-1,1,-1,0,0,-1,0,0,0.428571429
88,-1,1,-1,-1,0,-1,0,-1,-0.428571429
89,-1,-1,0.333333333,0,0,-1,0,0,-1
90,-1,-1,-0.333333333,-1,0,-1,-1,1,-0.428571429
91,-1,-1,1,0,0,-1,0,0,-0.428571429
92,-1,1,0.333333333,0,-1,1,0,1,0.428571429
93,-1,1,1,0,1,-1,0,0,0.428571429
94,-1,1,0.333333333,0,0,-1,0,0,-1
95,-1,-1,0.333333333,0,0,-1,0,0,0.428571429
96,-1,-1,0.333333333,0,0,0,0,0,0.428571429
97,-1,-1,1,0,-1,-1,-1,-1,-1
98,-1,-1,-0.333333333,0,0,-1,0,-1,-1
99,-1,-1,1,0,0,0,0,-1,-1
100,-1,-1,0.333333333,0,-1,0,-1,-1,-1
101,-1,-1,0.333333333,0,0,-1,0,-1,-0.428571429
102,-1,-1,-0.333333333,0,0,-1,0,0,-0.428571429
103,-1,-1,1,-1,-1,-1,-1,0,-1
104,-0.466666667,-1,0.333333333,0,0,-1,0,0,-0.428571429
105,-0.6,-1,-0.333333333,-1,0,-1,-1,0,-0.428571429
106,-1,-1,0.333333333,-1,1,-1,0,1,-0.428571429
107,-0.866666667,-1,-0.333333333,0,0,-1,0,0,-0.428571429
108,-1,-1,-0.333333333,-1,0,-1,0,1,-0.428571429
109,-0.866666667,-1,-0.333333333,0,0,0,-1,0,0.428571429
110,-1,-1,0.333333333,-1,0,-1,0,0,1
111,-0.866666667,-1,-0.333333333,-1,0,-1,0,0,0.428571429
112,-1,-1,1,0,0,0,0,-1,-0.428571429
113,-0.866666667,-1,-0.333333333,1,0,-1,0,0,0.428571429
114,-1,-1,-0.333333333,0,1,-1,0,-1,0.428571429
115,-1,1,-1,0,0,-1,0,0,1
116,-0.6,1,0.333333333,0,0,-1,0,0,1
117,-0.466666667,1,-0.333333333,0,0,-1,0,0,-1
118,-0.466666667,1,-0.333333333,0,0,-1,0,0,-0.428571429
119,-1,1,-0.333333333,0,0,0,0,0,0.428571429
120,-1,1,0.333333333,0,0,-1,1,-1,-0.428571429
121,-1,-1,1,0,0,-1,0,0,-0.428571429
122,-1,-1,-1,0,0,-1,0,1,0.428571429
123,-1,-1,0.333333333,0,0,-1,-1,0,1
124,-0.866666667,-1,0.333333333,-1,0,-1,-1,-1,-0.428571429
125,-1,-1,-1,0,0,-1,0,0,0.428571429
126,-1,-1,-0.333333333,0,0,-1,-1,0,0.428571429
127,-1,1,-0.333333333,0,0,0,0,1,-0.428571429
128,-1,1,-1,-1,-1,-1,0,0,-0.428571429
129,-1,1,-1,0,0,-1,0,0,0.428571429
130,-1,-1,0.333333333,0,-1,-1,0,0,1
131,-0.866666667,-1,0.333333333,0,0,-1,0,0,1
