id,reviewlevel,novel,motivation,relatework,readable,arxiv,Fscore
0,-0.333333333,0,0,0,0,-1,-0.428571429
1,1,-1,0,-1,0,-1,-0.428571429
2,-0.333333333,0,1,0,0,-1,-0.428571429
3,0.333333333,-1,0,-1,1,-1,-0.428571429
4,1,-1,0,0,0,-1,-1
5,0.333333333,-1,0,0,0,-1,-0.428571429
6,0.333333333,0,0,0,0,-1,0.428571429
7,0.333333333,0,0,0,-1,-1,0.428571429
8,-0.333333333,0,0,0,0,1,1
9,-0.333333333,1,0,0,-1,1,0.428571429
10,0.333333333,0,0,0,-1,1,0.428571429
11,-0.333333333,-1,1,0,0,-1,-0.428571429
12,0.333333333,0,0,0,0,-1,-0.428571429
13,-0.333333333,-1,-1,-1,0,-1,-1
14,-0.333333333,0,1,0,0,-1,1
15,0.333333333,0,0,0,0,-1,0.428571429
16,0.333333333,0,0,0,-1,-1,0.428571429
17,-1,0,0,0,0,1,1
18,0.333333333,-1,0,0,0,1,0.428571429
19,-1,1,0,0,0,1,0.428571429
20,0.333333333,-1,0,0,0,-1,-1
21,1,0,0,0,0,-1,-1
22,-0.333333333,0,0,0,0,-1,0.428571429
23,1,0,0,-1,-1,-1,1
24,-0.333333333,0,0,0,-1,-1,-0.428571429
25,-0.333333333,0,0,-1,-1,-1,1
26,-0.333333333,0,0,0,0,-1,0.428571429
27,-1,-1,0,0,0,-1,-0.428571429
28,0.333333333,0,0,0,0,-1,-0.428571429
29,0.333333333,0,0,-1,-1,-1,0.428571429
30,-0.333333333,0,0,-1,0,-1,-0.428571429
31,0.333333333,0,0,0,0,-1,-0.428571429
32,-1,0,0,0,0,-1,-0.428571429
33,-0.333333333,-1,-1,0,-1,-1,-0.428571429
34,-0.333333333,-1,0,0,0,-1,-0.428571429
35,-0.333333333,0,0,0,0,-1,-0.428571429
36,-0.333333333,0,0,0,0,-1,0.428571429
37,1,0,0,0,0,-1,-0.428571429
38,0.333333333,-1,0,-1,-1,-1,-0.428571429
39,-0.333333333,0,0,-1,0,-1,-0.428571429
40,-1,0,0,0,0,1,0.428571429
41,-0.333333333,0,0,0,-1,1,0.428571429
42,-0.333333333,0,0,0,0,1,-1
43,0.333333333,0,0,0,-1,-1,0.428571429
44,0.333333333,0,0,0,0,-1,-1
45,0.333333333,0,-1,-1,-1,-1,-0.428571429
46,-0.333333333,1,0,0,-1,-1,-0.428571429
47,-0.333333333,0,0,-1,-1,-1,-0.428571429
48,-1,0,-1,-1,-1,-1,1
49,0.333333333,0,1,0,0,-1,0.428571429
50,1,-1,0,0,0,-1,-0.428571429
51,0.333333333,0,0,0,0,-1,0.428571429
52,-0.333333333,0,0,0,0,-1,-0.428571429
53,-1,0,0,0,0,-1,-0.428571429
54,-0.333333333,0,0,0,0,-1,-0.428571429
55,-1,0,0,0,0,-1,0.428571429
56,0.333333333,0,0,0,0,-1,-0.428571429
57,-1,0,0,0,0,-1,0.428571429
58,-0.333333333,0,0,-1,0,-1,0.428571429
59,-1,0,0,-1,0,-1,0.428571429
60,1,-1,0,0,0,-1,-0.428571429
61,0.333333333,0,1,1,0,-1,0.428571429
62,-0.333333333,0,0,0,-1,-1,-0.428571429
63,0.333333333,0,0,0,0,-1,0.428571429
64,1,0,1,0,0,-1,-1
