id,novel,motivation,experiment,relatework,readable,arxiv,Fscore
1,0,0,-1,0,0,-1,-0.428571429
2,-1,0,-1,-1,0,-1,-0.428571429
3,0,1,-1,0,0,-1,-0.428571429
4,-1,0,-1,-1,1,-1,-0.428571429
5,-1,0,-1,0,0,-1,-1
6,-1,0,-1,0,0,-1,-0.428571429
7,0,0,-1,0,0,-1,0.428571429
8,0,0,-1,0,-1,-1,0.428571429
9,0,0,0,0,0,1,1
10,1,0,-1,0,-1,1,0.428571429
11,0,0,-1,0,-1,1,0.428571429
12,-1,1,-1,0,0,-1,-0.428571429
13,0,0,-1,0,0,-1,-0.428571429
14,-1,-1,-1,-1,0,-1,-1
15,0,1,0,0,0,-1,1
16,0,0,-1,0,0,-1,0.428571429
17,0,0,-1,0,-1,-1,0.428571429
18,0,0,1,0,0,1,1
19,-1,0,-1,0,0,1,0.428571429
20,1,0,-1,0,0,1,0.428571429
21,-1,0,-1,0,0,-1,-1
22,0,0,-1,0,0,-1,-1
23,0,0,0,0,0,-1,0.428571429
24,0,0,-1,-1,-1,-1,1
25,0,0,-1,0,-1,-1,-0.428571429
26,0,0,-1,-1,-1,-1,1
27,0,0,-1,0,0,-1,0.428571429
28,-1,0,-1,0,0,-1,-0.428571429
29,0,0,0,0,0,-1,-0.428571429
30,0,0,-1,-1,-1,-1,0.428571429
31,0,0,-1,-1,0,-1,-0.428571429
32,0,0,-1,0,0,-1,-0.428571429
33,0,0,-1,0,0,-1,-0.428571429
34,-1,-1,-1,0,-1,-1,-0.428571429
35,-1,0,0,0,0,-1,-0.428571429
36,0,0,0,0,0,-1,-0.428571429
37,0,0,0,0,0,-1,0.428571429
38,0,0,-1,0,0,-1,-0.428571429
39,-1,0,-1,-1,-1,-1,-0.428571429
40,0,0,-1,-1,0,-1,-0.428571429
41,0,0,1,0,0,1,0.428571429
42,0,0,0,0,-1,1,0.428571429
43,0,0,-1,0,0,1,-1
44,0,0,-1,0,-1,-1,0.428571429
45,0,0,-1,0,0,-1,-1
46,0,-1,-1,-1,-1,-1,-0.428571429
47,1,0,-1,0,-1,-1,-0.428571429
48,0,0,-1,-1,-1,-1,-0.428571429
49,0,-1,-1,-1,-1,-1,1
50,0,1,0,0,0,-1,0.428571429
51,-1,0,-1,0,0,-1,-0.428571429
52,0,0,-1,0,0,-1,0.428571429
53,0,0,-1,0,0,-1,-0.428571429
54,0,0,-1,0,0,-1,-0.428571429
55,0,0,0,0,0,-1,-0.428571429
56,0,0,-1,0,0,-1,0.428571429
57,0,0,-1,0,0,-1,-0.428571429
58,0,0,0,0,0,-1,0.428571429
59,0,0,0,-1,0,-1,0.428571429
60,0,0,-1,-1,0,-1,0.428571429
61,-1,0,-1,0,0,-1,-0.428571429
62,0,1,1,1,0,-1,0.428571429
63,0,0,-1,0,-1,-1,-0.428571429
64,0,0,0,0,0,-1,0.428571429
65,0,1,0,0,0,-1,-1
66,1,0,-1,0,-1,-1,-0.428571429
67,0,0,-1,0,-1,1,-0.428571429
68,0,0,0,0,0,1,-0.428571429
69,0,0,-1,-1,0,1,0.428571429
70,0,0,-1,0,0,-1,0.428571429
71,0,0,0,0,0,-1,-0.428571429
72,0,0,-1,0,0,-1,0.428571429
73,0,0,-1,0,0,-1,1
74,0,0,-1,0,0,-1,0.428571429
75,-1,-1,-1,0,-1,-1,-0.428571429
76,0,0,0,0,0,-1,0.428571429
77,1,0,0,0,1,-1,0.428571429
78,0,0,0,0,1,-1,0.428571429
79,1,0,0,-1,-1,-1,-0.428571429
80,0,0,0,0,0,-1,1
81,-1,0,-1,-1,0,-1,-1
82,0,0,-1,0,0,-1,-0.428571429
83,-1,1,-1,0,-1,1,0.428571429
84,0,1,-1,0,-1,1,0.428571429
85,0,0,-1,0,-1,1,1
86,0,-1,0,0,-1,1,0.428571429
87,0,0,-1,0,0,1,-0.428571429
88,-1,0,-1,0,-1,1,-0.428571429
89,0,0,-1,0,0,-1,-1
90,-1,0,-1,-1,1,-1,-0.428571429
91,0,0,-1,0,0,-1,-0.428571429
92,0,-1,1,0,1,1,0.428571429
93,0,1,-1,0,0,1,-0.428571429
94,0,0,-1,0,0,1,-1
95,0,0,-1,0,0,-1,0.428571429
96,0,0,0,0,0,-1,0.428571429
97,0,-1,-1,-1,-1,-1,-1
98,0,0,-1,0,-1,-1,-1
99,0,0,0,0,-1,-1,-1
100,0,-1,0,-1,-1,-1,-1
101,0,0,-1,0,-1,-1,-0.428571429
102,0,0,-1,0,0,-1,-0.428571429
103,-1,-1,-1,-1,0,-1,-1
104,0,0,-1,0,0,-1,-0.428571429
105,-1,0,-1,-1,0,-1,-0.428571429
106,-1,1,-1,0,1,-1,-0.428571429
107,0,0,-1,0,0,-1,-0.428571429
108,-1,0,-1,0,1,-1,-0.428571429
109,0,0,0,-1,0,-1,0.428571429
110,-1,0,-1,0,0,-1,1
111,-1,0,-1,0,0,-1,-0.428571429
112,0,0,0,0,-1,-1,-0.428571429
113,1,0,-1,0,0,-1,0.428571429
114,0,1,-1,0,-1,-1,-0.428571429
115,0,0,-1,0,0,1,1
116,0,0,-1,0,0,1,1
117,0,0,-1,0,0,1,-1
118,0,0,-1,0,0,1,-0.428571429
119,0,0,0,0,0,1,0.428571429
120,0,0,-1,1,-1,1,-0.428571429
121,0,0,-1,0,0,-1,-0.428571429
122,0,0,-1,0,1,-1,0.428571429
123,0,0,-1,-1,0,-1,0.428571429
124,-1,0,-1,-1,-1,-1,-0.428571429
125,0,0,-1,0,0,-1,0.428571429
126,0,0,-1,-1,0,-1,0.428571429
127,0,0,0,0,1,1,-0.428571429
128,-1,-1,-1,0,0,1,-0.428571429
129,0,0,-1,0,0,1,0.428571429
