id,reviewlevel,novel,motivation,experiment,relatework,readable,arxiv,Fscore
1,-0.333333333,0,0,-1,0,0,-1,-0.428571429
2,1,-1,0,-1,-1,0,-1,-0.428571429
3,-0.333333333,0,1,-1,0,0,-1,-0.428571429
4,0.333333333,-1,0,-1,-1,1,-1,-0.428571429
5,1,-1,0,-1,0,0,-1,-1
6,0.333333333,-1,0,-1,0,0,-1,-0.428571429
7,0.333333333,0,0,-1,0,0,-1,0.428571429
8,0.333333333,0,0,-1,0,-1,-1,0.428571429
9,-0.333333333,0,0,0,0,0,1,1
10,-0.333333333,1,0,-1,0,-1,1,0.428571429
11,0.333333333,0,0,-1,0,-1,1,0.428571429
12,-0.333333333,-1,1,-1,0,0,-1,-0.428571429
13,0.333333333,0,0,-1,0,0,-1,-0.428571429
14,-0.333333333,-1,-1,-1,-1,0,-1,-1
15,-0.333333333,0,1,0,0,0,-1,1
16,0.333333333,0,0,-1,0,0,-1,0.428571429
17,0.333333333,0,0,-1,0,-1,-1,0.428571429
18,-1,0,0,1,0,0,1,1
19,0.333333333,-1,0,-1,0,0,1,0.428571429
20,-1,1,0,-1,0,0,1,0.428571429
21,0.333333333,-1,0,-1,0,0,-1,-1
22,1,0,0,-1,0,0,-1,-1
23,-0.333333333,0,0,0,0,0,-1,0.428571429
24,1,0,0,-1,-1,-1,-1,1
25,-0.333333333,0,0,-1,0,-1,-1,-0.428571429
26,-0.333333333,0,0,-1,-1,-1,-1,1
27,-0.333333333,0,0,-1,0,0,-1,0.428571429
28,-1,-1,0,-1,0,0,-1,-0.428571429
29,0.333333333,0,0,0,0,0,-1,-0.428571429
30,0.333333333,0,0,-1,-1,-1,-1,0.428571429
31,-0.333333333,0,0,-1,-1,0,-1,-0.428571429
32,0.333333333,0,0,-1,0,0,-1,-0.428571429
33,-1,0,0,-1,0,0,-1,-0.428571429
34,-0.333333333,-1,-1,-1,0,-1,-1,-0.428571429
35,-0.333333333,-1,0,0,0,0,-1,-0.428571429
36,-0.333333333,0,0,0,0,0,-1,-0.428571429
37,-0.333333333,0,0,0,0,0,-1,0.428571429
38,1,0,0,-1,0,0,-1,-0.428571429
39,0.333333333,-1,0,-1,-1,-1,-1,-0.428571429
40,-0.333333333,0,0,-1,-1,0,-1,-0.428571429
41,-1,0,0,1,0,0,1,0.428571429
42,-0.333333333,0,0,0,0,-1,1,0.428571429
43,-0.333333333,0,0,-1,0,0,1,-1
44,0.333333333,0,0,-1,0,-1,-1,0.428571429
45,0.333333333,0,0,-1,0,0,-1,-1
46,0.333333333,0,-1,-1,-1,-1,-1,-0.428571429
47,-0.333333333,1,0,-1,0,-1,-1,-0.428571429
48,-0.333333333,0,0,-1,-1,-1,-1,-0.428571429
49,-1,0,-1,-1,-1,-1,-1,1
50,0.333333333,0,1,0,0,0,-1,0.428571429
51,1,-1,0,-1,0,0,-1,-0.428571429
52,0.333333333,0,0,-1,0,0,-1,0.428571429
53,-0.333333333,0,0,-1,0,0,-1,-0.428571429
54,-1,0,0,-1,0,0,-1,-0.428571429
55,-0.333333333,0,0,0,0,0,-1,-0.428571429
56,-1,0,0,-1,0,0,-1,0.428571429
57,0.333333333,0,0,-1,0,0,-1,-0.428571429
58,-1,0,0,0,0,0,-1,0.428571429
59,-0.333333333,0,0,0,-1,0,-1,0.428571429
60,-1,0,0,-1,-1,0,-1,0.428571429
61,1,-1,0,-1,0,0,-1,-0.428571429
62,0.333333333,0,1,1,1,0,-1,0.428571429
63,-0.333333333,0,0,-1,0,-1,-1,-0.428571429
64,0.333333333,0,0,0,0,0,-1,0.428571429
65,1,0,1,0,0,0,-1,-1
66,1,1,0,-1,0,-1,-1,-0.428571429
67,1,0,0,-1,0,-1,1,-0.428571429
68,1,0,0,0,0,0,1,-0.428571429
69,-1,0,0,-1,-1,0,1,0.428571429
70,0.333333333,0,0,-1,0,0,-1,0.428571429
71,-1,0,0,0,0,0,-1,-0.428571429
72,-1,0,0,-1,0,0,-1,0.428571429
73,-0.333333333,0,0,-1,0,0,-1,1
74,-1,0,0,-1,0,0,-1,0.428571429
75,0.333333333,-1,-1,-1,0,-1,-1,-0.428571429
76,-0.333333333,0,0,0,0,0,-1,0.428571429
77,-0.333333333,1,0,0,0,1,-1,0.428571429
78,0.333333333,0,0,0,0,1,-1,0.428571429
79,-0.333333333,1,0,0,-1,-1,-1,-0.428571429
80,1,0,0,0,0,0,-1,1
81,1,-1,0,-1,-1,0,-1,-1
82,1,0,0,-1,0,0,-1,-0.428571429
83,0.333333333,-1,1,-1,0,-1,1,0.428571429
84,1,0,1,-1,0,-1,1,0.428571429
85,-0.333333333,0,0,-1,0,-1,1,1
86,0.333333333,0,-1,0,0,-1,1,0.428571429
87,-1,0,0,-1,0,0,1,-0.428571429
