text	label
on the overall, while the idea may be of interested, the paper lacks in motivations in connecting to relevant previous works and in providing insights on why it works.	0
for the presentation, the motivation in introduction is fine, but the following section about momentum operator is hard to follow.	0
fourth, the proposed method seems to lack motivation, making the proposed scheme seem a bit ad hoc.	0
the numbers in the tables are good but i have several comments on the motivation, originality and experiments.	0
overall i found the paper interesting but also not very clear at pointing out the major contribution and the motivation behind it.	0
the paper was mostly clear in its exposition, however some additional information of the motivation for why the said reduction is better than simpler alternatives would help.	0
i feel the motivation for this is lacking.	0
2. lack of motivation for ie or uie.	0
weaknesses: 1. the motivation behind the proposed task needs to be better elaborated.	0
the paper contains some interesting experimental results, but unfortunately lacks concise motivation and description of the method and quality of writing.	0
to push this motivation into the learning process, the master policy is updated always but the subpolicies are only updated after an extended warmup period (called the jointupdate or training period).	0
"finally, the motivation behind the ""reverse ratio trick"" was unclear to me (the trick is clear, but i didn't fully understand why it's needed)."	0
my main problem with the paper is the lack of enough motivation and justification for the proposed method; the methodology seems pretty adhoc to me and there is a need for more experimental study to show how the methodology work.	0
it would be nice to have a little bit of discussion about the motivation for these particular modeling implementationssome are basically the same as in hu et al. (2017), but obviously the type system here is richer and it might be helpful to highlight some of the extra things it can do.	0
cons: 1) the motivation of the paper is not convincing.	0
however, i found a lack of motivation for the specific design choices made to obtain equations 9 and 10. what is a_t in equation 9?	0
i find this idea potentially interesting but am more concerned with the poorly explained motivation as well as some technical issues in how this idea is implemented, as detailed below.	0
pros:  the motivation for the work and its connections to the cognitive/philosophical models of concepts and predictive coding is very interesting  the iterative improvements in the celeba samples in fig. 3 and the corresponding improvements in the loglikelihood in tbl.	2
the motivation and attempt is quite good, but the paper is written quite poorly without any flow, it is very difficult for the reader to understand the novelty or significance of the work, no intuition is given and descriptions and so short and cryptic.	0
i guess the motivation is the mixture of pyramiddrop and shakeshake motivations, but the main surprising part (forward weight can be negative) is not motivated at all.	0
many ideas are presented with some abstract motivation, but there is no comparative evaluation to demonstrate what happens when any one piece is removed from the system.	0
together with the above concerns, it makes me doubt the motivation of this work on reading comprehension.	0
comments: the word analogy task was developed as an interesting way to analyse and understand word embedding spaces, but motivation for learning word embeddings was as generalpurpose representations for language processing tasks (as in collobert et al, 2011), not as a way of resolving analogy questions.	0
the central motivation of the method proposed in the paper, is a conjecture that the lack of global consistency in gangenerated samples is due to the binary classification formulation of the discriminator.	0
the main concern is the motivation of the twopass decomposition.	0
cons: 1) lacking motivation/intuition the main motivation for the approach, as far as i understand, is to learn cluster boundaries for nonlinear data  where kmeans fails.	0
the motivation behind it is that in gans interpolating between sampled points is common in the process of generating examples but the use of a normal prior results in samples that fall in low probability mass regions.	0
 the example in fig. 2 is extremely important to understand the motivation behind the hyperprior but i think it needs a little more explanation.	0
basically the motivation and method is good, the drawback of this paper is its narrow scope and lack of necessary explanations.	0
i do have some serious questions/concerns about this method: part of the motivation for this paper is the goal of scaling to very large sets of examples.	0
despite the strong motivation, the article raises some concerns regarding the method.	0
it’s not clear how much value there is adding yet another distribution to distribution regression approach, this time with neural networks, without some pretty strong motivation (which seems to be lacking), as well as experiments.	0
 the proposed idea (treeqn) and underlying motivation are almost same as those of vpn [oh et al.], but there is no indepth discussion that shows why treeqn is potentially better than vpn.	0
the motivation has certainly been clarified, but in my opinion it is still hazy.	0
however, my main concerns with this paper are related to motivation and experiments.	0
for mnist and mnistfashion experiments, the motivation is mentioned to be similar to srivastava et al. (2015), but in that study the corresponding experiment was designed to test if deeper networks could be optimized.	0
other than that, i have the following questions and remarks:  i might have misunderstood the motivation but the gan objective for the `g` network is a bit weird; why is it a good idea to push the counterfactual outcomes close to the factual outcomes (which is what the gan objective is aiming for)?	0
 cons: the authors depart from the original motivation when the central limit theorem is invoked.	0
main comments the motivation to consider algebraic topology and dataset difficulty is interesting, but i think this method is ultimately ill suited and unable to be adapted to more complex and interesting settings.	0
re: motivation the response didn't address my comments about the lack motivation for the proposed method.	0
 in figure 1, the “g1” on the right should be “g2”;  section 2.2.1, “x_f” should be “x_f”;  the motivation of having “z_v” should be introduced earlier;  section 2.2.4, please use either “alpha” or “.alpha” but not both;  section 3.3, the dataset information is incorrect: “20599 images” should be “202599 images”; missing reference:  neural face editing with intrinsic image disentangling, shu et al. in cvpr 2017.	0
pros:  qualitatively the proposed method has good results in several tasks cons:  writing needs to be improved  lack of motivation  not easy to follow technique details the motivation part is missing.	2
additional comments:  the assumption of the availability of a target score goes against the motivation that one need not learn individual networks .. authors say instead one can use 'published' scores, but that only assumes someone else has done the work (and furthermore, published it!).	0
in principle, the idea seems to be clear, but then the description and motivation of the model remains very vague.	0
let's take them one by one: (a) as pointed out by authors, this is in the line of work being done in speech recognition, selfdriving cars, ocr etc. and is a good motivation for the work but not a contribution.	0
