text	label
one could argue that experiments could be conducted on different environments or that the novelty is limited, but i feel that 'correct' (nononsense, experimentally sound on doom, appendix providing details for reproducibility) and 'milestone' (vizdoom winner) papers should get published.	0
pros and cons: although there is little novelty in the paper, i think the work is of great value in shedding light into some interesting questions around generalization of deep networks.	0
somewhat incremental novelty relatively to fitnet	0
overall, despite the lack of novelty, the simplicity, efficiency, and performance of this model make it worthy of wider readership and study, and i recommend acceptance.	0
2. the proposed method produces visually appealing results on several datasets 3. the authors demonstrate how their approach can be used for domain adaptation and obtain improved results on the svhn>mnist task 4. the paper is wellwritten and easy to read cons: 1. the novelty of the method is relatively minor (i consider fconstancy term as the main contribution) 2. it feels like the proposed approach would break for more dissimilar domains.	0
cons: 1. the novelty of the approach is relatively low: it’s just a straightforward fusion of the existing techniques.	0
however, the novelty is relatively incremental given previous cited work on multistream networks, and it is not clear that this particular decoupling works well or is of broader interest beyond the specific task of future frame prediction.	0
the paper is very interesting, but the novelty is low compared to the referenced work.	0
preliminary rating: i think this is an interesting paper with convincing results but is somewhat lacking in novelty.	0
deepdsl is not especially novel when compared with existing frameworks, which is not a problem in and of itself, but some statements misleadingly or incorrectly oversell the novelty of the framework.	0
overall, the deepdsl framework seems to have real value in its use of scala and its memory/speed efficiency as demonstrated by the experiments, but the current version of the paper contains statements that overclaim novelty in ways that are misleading and unfair to existing frameworks.	0
some of the ideas it presents are interesting, but overall the paper lacks novelty and potential impact and stays firmly within the realm of deep learning framework whitepapers such as [1,2,3,4], which to my knowledge don't have a precedent of being accepted at venues like iclr.	0
in light of these existing models, the novelty of the qrnn is somewhat diminished, however in my opinion their is still sufficient novelty to justify publication.	0
overall the paper is an enjoyable read and the proposed approach is interesting, pros:  address an important problem  nice empirical evaluation showing the benefit of their approach  demonstrate up to 16x speedup relatively to a lstm cons:  somewhat incremental novelty compared to (balduzizi et al., 2016) few specific questions:  is densely layer necessary to obtain good result on the imdb task.	2
i’m not sure about the novelty of the proposed ngram rnn because i recall seeing similar architectures before but i understand that novelty was not the point of that architecture as it mainly serves as a proof of the lack of ability of the more complicated architectures to do better.	0
the only concern i have is the novelty of this work.	0
my main concern is with the paper`s novelty.	0
my primary concern remains about novelty: the extra data introduced here is welcome enough, but probably belongs in a 'acl short paper or a technical report.	0
the general idea is not unique, but it is an interesting one (if one admits that the adjacency matrix a is known a priori), and the novelty mostly lies on the definition of the regularisation term that is an l1norm (while other techniques would mostly use l2 regularisation).	0
this is clearly mentioned in the paper, but the authors could better highlight the differences and novelty wrt this reference paper.	0
it is quite hard to assess the novelty on the algorithmic side at this stage: there is a huge available literature on semisupervised learning (especially svmrelated literature, but some work were applied to neural networks too); unfortunately the authors do not mention it, nor relate their approach to it, and stick to the adversarial world.	0
i would say the technical novelty is incremental since the extension is straightforward and similar to previous work.	0
the novelty and the key insights are however not always well motivated or presented.	0
overall, the paper looks like a correct analysis work, but its form is really suboptimal in terms of writing/presentation, and the novelty and relevance of the results are not always very clear, unfortunately.	0
the quality of the work is not that bad, but the novelty of the paper is not that good either.	0
first this paper has the style very similar to the sugiyama et al. papers that are cited (e.g. presenting in different perspectives that were all covered in those papers but in a different context), making me unsure about how to evaluate the novelty.	0
4) conclusion although the novelty with existing video captioning approaches is limited, the paper is relevant to iclr, as the proposed simple but efficient implementation and benefits of spatiotemporal  feature abstraction attention are clearly validated in this work.	0
while there is an interesting idea of (limited) novelty to the paper, there are some concerns about evalations and comparisons as outlined above.	0
weak points:  probably the main negative point is the amount of novelty and contribution.	0
although the proposed method may be potentially useful in practice (if refined further), i find the method lacks novelty, and the experimental results are not significant enough.	0
in short, the paper is investigating an interesting problem and apply and compare standard adversarial methods to this domain, but the novelty and the presentation of the paper is limited.	0
after the rebuttal: the paper contains an interesting set of results (mainly produced after the initial submission), but novelty is limited, and presentation is suboptimal.	0
1) the main concern is that there are no comparisons or even mentions of the work done by tamara berg’s group on fashion recognition and fashion attributes, e.g.,  “automatic attribute discovery and characterization from noisy web data” eccv 2010  “where to buy it: matching street clothing photos in online shops” iccv 2015,  “retrieving similar styles to parse clothing, tpami 2014, etc it is difficult to show the contribution and novelty of this work without discussing and comparing with this extensive prior art.	0
as with other novelty papers, it would be read thoroughly by the interested few, but it is likely to fight an uphill battle against the majority of readers outside the subsubfield of novelty generation; for this reason the theory should be made even more intuitive and clear and the experiments and results even more accessible.	0
this paper aims at proposing a general metric for novelty but the experiments only used one setting, namely generating arabic digits and english letters.	0
pro: ' well written ' exhaustive set of experiments ' learning algorithms with decimal representation ' available source code cons: ' no coherent hypothesis/premise advanced ' two or three bold statements without explanation or references ' some unclarity in experimental details ' limited novelty and originality factor typos: add minus in “chance of carrying k digits is 10^k” (section 5); remove “are” from “the larger models with 512 filters are achieve” (section 4); add “a” in “such model doesn’t generalize” (section 4).	0
while the speedup obtained are good, the lack of novelty and the rebranding attempt make this paper not a good fit for iclr.	0
therefore, given the lack of model novelty (based on my understanding), and the lack of strong results (based on the leaderboard), i don't feel the paper is ready in its current form to be accepted to the conference.	0
cons: 1) the novelty of this work is not enough.	0
my first concern of the paper is on the novelty of the model.	0
weaknesses: =============== 1. claims about the contribution/novelty of the model seem not to hold: 1.1. one of the main contributions is the hierarchical attention/memory (ham): 1.1.1. it is not clear to me how the presented model (eq 68), are significantly different from the presented model in xu et al / yao et al. while xu et al. attends over spatial image locations and yao et al. attend over frames, this model attends over encoded video representations h_v^i.	0
to the approach and results, the approach lacks novelty and the results are not convincing over related work and ablations.	0
second, while the technical contributions/novelty are not a focus of the paper's presentation, i am concerned by the lack of methodological advance.	0
essentially a regularization objective is added to the previous method, which of itself is not a bad idea, but i can't point to a technical novelty in the paper that the community can not do without.	0
despite the lack of novelty of the method, i do think that the results are valuable.	0
however, the novelty of the paper is incremental, since the blocked gibbs sampling for nade model is already proposed by yao et al., (2014) and the using nade based model for music modeling has also been proposed by boulangerlewandowski et al., (2012).	0
this is an interesting contribution but it seems to me that the results are too similar to the ones in choromanska et al. and thus the novelty is seriously limited.	0
on the negative side, the novelty of the work is relatively limited, while the validation is lacking a bit.	0
unfortunately, even after reading the authors' response to my prereview question, i feel this paper in its current form lacks sufficient novelty to be accepted to iclr.	0
given the lack of novelty and the missing baselines, i believe the paper in its current form is not ready for publication at iclr.	0
in summary, i found this paper to be wellexecuted/wellwritten, but it's novelty and scope too small.	0
to sum up, two main issues are (a) lack of novelty (b) the comparison of a model trained with external alignment and one without it.	0
it rebrands the algorithm under a new name, and does not bring any scientific novelty, and the experimental section lacks existing baselines to be convincing.	0
in general, i find the proposed approach in the paper sound and solid, but do not see novelty in the paper: feature fusion and decision time fusion are both standard practices in multimodal analysis, and the rest of the paper offers no surprise in implementing such approaches.	0
the proposed approach achieves decent performance improvement over previous work, but the technical novelty of this work is significantly limited by existing work that used similar ideas.	0
weaknesses: 1. the technical novelty of the paper is limited; it is mainly a comparison of different variants to include attributes.	0
this is a wellwritten paper with good analysis in which i especially like figure 5. however i think there is little novelty in this work.	0
my main concern is novelty.	0
this allows for training of visual models from video, etc. a major concern is the amount of novelty between this work and the author's previous publication at nips 2016. the authors claim a more sophisticated architecture and indeed show an improvement in recall.	0
pros: ' interesting topic ' blackbox setup is most relevant ' multiple experiments ' shows that with flipping only 1~5% of pixels, adversarial images can be created cons: ' too long, yet key details are not well addressed ' some of the experiments are of little interest ' main experiments lack key measures or additional baselines ' limited technical novelty quality: the method description and experimental setup leave to be desired.	2
a major concern with regard to novelty is that this greedy local search procedure is analogous to gradient descent; a numeric approximation (observe change in output for corresponding change in input) is used instead of backpropagation, since one does not have access to the network parameters.	0
as such, the greedy local search algorithm itself, to which the paper devotes a large amount of discussion, is not surprising and the paper is fairly incremental in terms of technical novelty.	0
in summary, this paper lacks novelty and significance, as the paper implements an existing method and demonstrates results on only one simple task.	0
an important baseline is missing where realvalued paragraph vectors are learned first, and then converted to binary codes using offtheshelf hashing methods (e.g. random projection lsh by charikar, bre by kulis & darrell, itq by gong & lazebnik, mlh by norouzi & fleet, etc.) given the lack of novelty and the missing baseline, i do not recommend this paper in its current for publication in the iclr conference's proceeding.	0
lack of novelty of yet another standard directed ldalike bag of words/bigram model.	0
cons: there is little novelty  the method is arguably too simple to be called a “method.” rather, it’s the most straightforward/intuitive approach when using a network with batch normalization for domain adaptation.	0
overall, there’s not much novelty here, but it’s hard to argue that simplicity is a bad thing when the method is clearly competitive with or outperforming prior work on the standard benchmarks (in a domain adaptation tradition that started with “frustratingly easy domain adaptation”).	0
(in general the novelty of this paper seems low) experiments:  section 4.3.1 is not an accurate measure of the 'effectiveness' of the proposed method, but a verification of a simple fact: previously, we normalize the source domain features into a gaussian distribution.	0
the idea of an attention policy that takes advantage of expert knowledge is a nice contribution, but perhaps if limited novelty  for example the maddison and tarlow 2014 paper, which the authors cite, has scoping rules that track previously used identifiers in scope.	0
the one novelty on the modelling front (the differentiable set) provides a small win on this task, but it's not clear if it is a useful general construct or not.	0
the main merits of the paper is to present extensive experiments on how well the vanilla bloom filter approach can perform, but overall the novelty is fairly limited.	0
paper summary: the authors proposed to use edgeboxes  fastrcnn with batch normalization for pedestrian detection review summary: results do not cover enough datasets, the reported results do not improve over state of the art, writing is poor, and overall the work lacks novelty.	0
cons:  lack of novelty.	0
there is a lack of novelty and no significant results.	0
the proposed method performs best among 14 biclustering methods, however, my first concern is that from the methodological point of view, the novelty of the proposed method seems small.	0
cons: novelty of the proposed method some description in the paper is unclear.	0
the overall novelty of this approach is somewhat lacking in that previous methods have proposed training a classifier head on the discriminator and the discriminability metric proposed is simply the inception score of [1] except with class information.	0
cons:  acgan model itself is of limited novelty relative to other gan approaches that condition on class.	0
however, the experimental results are not significant enough to compensate the lack of conceptual novelty.	0
this is an incremental improvement on the idea of label softening/smoothing that has recently been revived, and so the novelty is not that high.	0
i do like that this paper looks at the autoencoder objective as a way to alleviate the missing mode problem of gans, but i think that alone does not have enough originality to carry the paper.	0
some other points are listed below originality: while there has been some work on compressing neural networks by using a reduced number of bits to store the parameters and exploiting sparsity structure, i like the idea to directly learn the quantization by means of a gaussian mixture prior in retraining which seems to be more principled than other approaches significance: the method achievs stateoftheart performance on the two shown examples on mnist, however these networks are far from the deep networks used in stateoftheart models.	0
all in all i think it is decent work but neither its originality and technical complexity nor the quality of the results are convincing enough for acceptance.	0
pros (quality, clarity, originality, significance:): this paper presents a novel metacontroller optimization system that learns the best action for a oneshot learning task, but as a framework has the potential for wider application.	0
concerning the originality, the proposed algorithm is a simple adaptation of graph convolutional networks (ref defferrard 2016 in the paper) to a semisupervised transductive setting.	0
even though the list of cons here is longer than pro's, i recommend accept; specifically because the originality of this work will in any case make it more vulnerable to critiques.	2
pro: ' well written ' exhaustive set of experiments ' learning algorithms with decimal representation ' available source code cons: ' no coherent hypothesis/premise advanced ' two or three bold statements without explanation or references ' some unclarity in experimental details ' limited novelty and originality factor typos: add minus in “chance of carrying k digits is 10^k” (section 5); remove “are” from “the larger models with 512 filters are achieve” (section 4); add “a” in “such model doesn’t generalize” (section 4).	0
originality: original, but at the moment it is not clear such originality is necessary.	0
although the paper establishes interesting measurement points and therefore it has the potential for being cited as a reference, its relative lack of originality decreases its significance.	0
please provide an evaluation of the quality, clarity, originality and significance of this work, including a list of its pros and cons.	0
so although the work is solid, the lack of originality lets it down.	0
it seems like a fairly clear accept, but the presentation of the ideas and work therein could be improved.	0
i like that idea but i am worried by the fact the task is changing during learning, since the extracted features are being modified.	0
the pros of the paper are: 1. the idea of using rnn to produce the description of the network and using rl to train the rnn is interesting and promising.	0
although i have listed my concerns, i would like to reiterate that i do find the idea of an actiondependent baseline fascinating.	0
pros:  the idea of weighting different channels to capture the importance of obejcts in different channels seems more effective than treating errors across all channels equally.	2
while this is clearly a good idea and the right way forward, the authors claim but do not support that not doing this has “proved to be a problem for earlier models based on continuous distributions”.	0
pros: 1. the paper presents an interesting idea of comparing samples from different domains using a fixed perceptual function f.	2
there are however a few issues with the paper in its current state that make the paper fall short of being a great exploration of a novel idea.	0
some other points are listed below originality: while there has been some work on compressing neural networks by using a reduced number of bits to store the parameters and exploiting sparsity structure, i like the idea to directly learn the quantization by means of a gaussian mixture prior in retraining which seems to be more principled than other approaches significance: the method achievs stateoftheart performance on the two shown examples on mnist, however these networks are far from the deep networks used in stateoftheart models.	0
any idea that the proposed method is learning an implicit `model' of the `objects' that make up the `scene' is vague and far fetched, but it sounds great.	0
strengths  the model is an interesting embodiment of the idea of predictive coding implemented using a endtoend backpropable recurrent neural network architecture.	2
it is too early to tell whether the specific techniques proposed in the paper will be the ultimate solution, but at the very least the paper provides interesting new ideas for others to work on.	0
it is based on a simple but efficient idea of simultaneously learning the policy and a model of the reward and the resulting algorithm exhibit interesting properties.	0
the proposed idea is quite obvious, but the authors are the first ones to propose to test such a model.	0
in summary, the idea is a good one, but the experiments are weak.	0
strengths: 1. the paper shows performance improvements over existing solutions 2. the idea of learning the quantization instead of using predefined humanmade algorithm is nice and very much in the spirit of modern machine learning.	2
pros: ' clearly written and original idea. '	2
