text	label
it seems like a fairly clear accept, but the presentation of the ideas and work therein could be improved.	0
details : the paper can be clearly understood if the basic frameworks (like gans) are known, but the presentation is not general and good enough for a broad public.	0
this work offers a different network architecture and set of experiments, as well as great presentation, but the use of an object based representation for learning to predict physical behavior is shared.	0
for the sake of clarity of the presentation i would drop parts of section 3 ('a combinator library for neural networks') which presents technical details that are in general interesting, but do not help the understanding of the core idea of the paper.	0
pros:  significant speed improvements through dynamic batching  source code provided cons:  the effect on a large realworld (asr, smt) would allow the reader to put the improvements better into context  presentation/vizualisation can be improved	2
i like the idea in this paper that use not just one but multiple attentional vectors to extract multiple representations for a sentence.	0
however, i'd like to see more analysis on the 2d representations (as concerned by another reviewer) to be convinced.	0
the presentation of the method for neural networks lacks clarity in presentation.	0
the main downside to the current version of this paper is the presentation, which provides sufficient detail but could be more clear.	0
establishing protocol is one important methodology contribution of this paper, but the presentation of section 3 is still not good.	0
pros: the presentation is quite good and the paper is easy to follow.	2
minor point on presentation: speaking of the 'evolution' of x_{i;a} as it travels through the network could give some readers helpful intuition, but for me it was confusing because x_{';a} is the immutable input vector, and it's the justintroduced z and y variables that represent its socalled evolution, no?	0
i do not rule out this paper for acceptance based on the length but i do hold it as a negative because clarity of presentation is an important quality.	0
this paper has excellent results but suffer poor presentation, lack of a clear focus.	0
overall, i think the paper contains a useful contribution on a technical level, but the presentation needs to be significantly cleaned up before i can recommend acceptance.	0
i have spent several hours trying to read this paper  but it has not been possible for me to follow  partially due to my own limitations, but also i think due to an overly abstract level of presentation.	0
pros:  introduction of a nice filter banks and its implementation  good numerical results  refinement of the representation via back propagation, and a demonstration that it speeds up learning cons:  the algorithms (section 3.1) are not necessary, and they even affect the presentation of the paper.	2
overall, the paper looks like a correct analysis work, but its form is really suboptimal in terms of writing/presentation, and the novelty and relevance of the results are not always very clear, unfortunately.	0
pros the paper promotes interesting results from the theoretical computer science community to investigate the efficiency of representation of functions with limited variability in terms of shallow feedforward networks with linear threshold units.	0
in general, the paper suffers greatly from a lack of clarity and issues of presentation.	0
in short, the paper is investigating an interesting problem and apply and compare standard adversarial methods to this domain, but the novelty and the presentation of the paper is limited.	0
after the rebuttal: the paper contains an interesting set of results (mainly produced after the initial submission), but novelty is limited, and presentation is suboptimal.	0
pros: 1. nice idea on heirarchical attention for modulating the context (document) representation by the taskspecific (query) representation.	2
perhaps i have misunderstood the contribution, but the presentation also lacks clarity, and i cannot recommend this paper for publication.	0
second, while the technical contributions/novelty are not a focus of the paper's presentation, i am concerned by the lack of methodological advance.	0
the authors claimed to have captured a latent representation of text and image during training and can translate better without images at test time, but didn't demonstrate convincingly that images help (not to mention the setup is a bit strange when there are no images at test time).	0
my main concerns with this paper are as follows:  the point of this paper is about using generative models for representation learning.	0
in short, the ideas of this paper are interesting and potentially useful, but i think the presentation of this paper should be improved so that it becomes more suitable for the iclr and machine learning community.	0
overall, the paper is quite interesting but needs a stronger empirical justification of the approach as well as a better presentation of the material.	0
this is the most important contribution, but it gets lost in the description and presentation as a framework — emphasizing that attention, seq2seq, etc can be represented in the framework is distracting and makes it seem less novel than it is.	0
i found no fault with the work or presentation, but did not follow the details or know the comparable literature.	0
in summary, the method seems relevant for particular model class, binary autoencoders, but clarity of presentation is insufficient  i wouldn't be able to recreate the algorithm used in experiments  and the paper contains a number of questionable claims.	0
(presentation) i think this distinction would usually be handled by the reinforcement learning framework, but the proposed method is not presented in that framework or related to an rl based approach.	0
the work is dense in nature, but i think the presentation could be improved.	0
the paper’s presentation is inefficient and muddled, and the results seem incremental.	0
weaknesses:  the presentation is a muddled, especially the model definition in sec.	0
the method seems potentially quite interesting but the paper has serious problems in the presentation.	0
weaknesses:  the writing is at times quite opaque.	0
clarity: the writing is generally good both in terms of the biology and ml, but more mathematical rigour would make it easier to understand precisely what was done.	0
it may be true that deepdsl is more “batteries included” for writing compact network definitions than these other frameworks, but the paper’s claims seem to go beyond this.	0
the authors keep referring to 'previously popular attention paradigms' without any citation and then, i believe, incorrectly describe whatever those are supposed to be by writing that these unknown but popular approaches 'summarize each modality into a single vector.'	0
my main concern about this paper is the writing, which is sometimes a bit verbose, making it hard to follow the description of the method.	0
two writing comments:  i agree that the results with word order and cbow are surprising, but i think it's slightly misleading to say that cbow is predictive of word order.	0
cons:  the writing is unclear at times and the mathematical formulation of the ian is not very precise.	0
overall, the paper looks like a correct analysis work, but its form is really suboptimal in terms of writing/presentation, and the novelty and relevance of the results are not always very clear, unfortunately.	0
writing comments  the writing of the paper in general needs some improvement, but more specifically in the experiment section, where experiment setting and baselines should be explained more concisely.	0
pros:  good numerical results  interesting applications linked to convolutions on lie groups cons:  sometimes, the writing is not clear/poor.	2
paper strengths:  the questions in the dataset are real queries from users instead of humans writing questions given some context.	2
the writing and wording are in general poorly structured to the point that it is sometimes difficult to follow the proposed ideas.	0
concerning the writing, sections concerning well known notions (e.g. svm) could be suppressed.	0
i wonder if the main challenge that hinders the quality of writing has something to do with having three very specialized models in one paper, each having a lot of details to be worked out, which may have not been extremely important for the main story of the paper, but nonetheless not negligible in order to understand what is going on with the paper.	0
highlights:  proofofconcept of a partiallytrainable implementation of the important “divide and conquer” paradigm  explicit reasoning about complexity of induced programs  the solution isn’t generic enough to be applicable to unknown problems  the networks require tricks specific to each problem  the writing style pictures the method as very general, but falls back on very low level details specific to each task	0
