text	label
however this would need to be resolved in order to have a meaningful comparison to the epsilondelta values reported in related work.	0
the authors state that their current algorithm is too slow to be useful for larger models such as vgg19, but they do briefly report some results obtained for this model (but do not compare to related work).	0
overall, it is a nice extension of reed & de freitas, but i'm a bit surprised by the lack of discussion about the rest of the literature (beside reed & de freitas, most previous work are only lightly discussed in the related work).	0
cons: as the paper well recounts in the related work section, libraries of fixed policies have long been formally proposed for reuse while learning similar tasks.	0
theorem 2: 'a nash equilibrium ... exists' ' sec 3: should be 'several papers were presented' overall, i have some concerns with the related work and experimental evaluation sections, but i feel the model is novel enough and is welljustified by the optimality proofs and the quality of the generated samples.	0
on the downside, experimental evaluation does not allow for confident conclusions, and a recent closely related work by zhu et al. [1] is not discussed in enough detail.	0
my main concern are experiments  it would be nice to see a comparison to some of the neural networks mentioned in related work.	0
there has been lots of interests in similar area recently, authors do cite some of them in introduction and related work but the relationship and comparison are missing.	0
the related work section, although appearing systematic and thorough, is a little detached from the main body of the paper (related work section should not be a survey of the literature, but help readers locate your work in the relevant literature, and highlight the pros and cons.	0
9th), there are two strong weaknesses remaining: analysis of related work, and experimental evidence.	0
to the approach and results, the approach lacks novelty and the results are not convincing over related work and ablations.	0
pros: ' clear description ' well built experiments ' simple yet effective idea ' no overclaiming ' detailed comparison with related work architectures cons: ' idea somewhat incremental (e.g. can be seen as derivative from bell 2016) ' results are good, but do not improve over state of the art quality: the ideas are sound, experiments well built and analysed.	2
they conclude that the proposed approach is superior, but this seems unjustified as the cnns used to generate the features by the authors is different from the one used in related work.	0
the related work section, although appearing systematic and thorough, is a little detached from the main body of the paper (related work section should not be a survey of the literature, but help readers locate your work in the relevant literature, and highlight the pros and cons.	0
3) the answer to the prereview questions made the architecture details of the paper much more clear, but i still ask the authors to include the exact architecture details of all the experiments in the paper and/or open source the code.	0
3) suggestions for improvement static dataset bias: in response to the prereview concerns about the observed static nature of the qualitative results, the authors added a simple baseline consisting in copying the pixels of the last observed frame.	0
another possible concern, as pointed out by reviewer 3, is that the description of the model is extremely concise.	0
[1] https://github.com/bvlc/caffe/blob/master/examples/pycaffe/caffenet.py#l24 [2] https://github.com/tensorflow/tensorflow/blob/master/tensorflow/contrib/slim/python/slim/nets/alexnet.py#l92 ===================== update: the authors have revised their paper to address the concerns that i considered grounds for rejection in my review.	0
if i understand section 2.3 correctly, it's mostly a review of black box alpha divergence minimization.	0
my concerns about the paper more or less mirror my prereview questions.	0
